test	struct	rep	count	variable	value
mix	rstack	10	2000	seconds	0.078523541
insert	rdeque	10	2000	seconds	0.208567445
remove	rdeque	10	2000	seconds	0.326545217
mix	rdeque	10	2000	seconds	0.265647922
insert	rpqueue	10	2000	seconds	0.677175522
remove	rpqueue	10	2000	seconds	0.732588565
mix	rpqueue	10	2000	seconds	0.736575238
insert	rstack	1	3000	seconds	0.095820701
remove	rstack	1	3000	seconds	0.13267406
mix	rstack	1	3000	seconds	0.112159592
insert	rdeque	1	3000	seconds	0.310139487
remove	rdeque	1	3000	seconds	0.485429793
mix	rdeque	1	3000	seconds	0.373420358
insert	rpqueue	1	3000	seconds	1.179814506
remove	rpqueue	1	3000	seconds	0.948373111
mix	rpqueue	1	3000	seconds	1.041929322
insert	rstack	2	3000	seconds	0.10744511
remove	rstack	2	3000	seconds	0.145057043
mix	rstack	2	3000	seconds	0.119034489
insert	rdeque	2	3000	seconds	0.308224618
remove	rdeque	2	3000	seconds	0.493318888
mix	rdeque	2	3000	seconds	0.38848401
insert	rpqueue	2	3000	seconds	1.156377076
remove	rpqueue	2	3000	seconds	0.958108594
mix	rpqueue	2	3000	seconds	1.032248533
insert	rstack	3	3000	seconds	0.09582272
remove	rstack	3	3000	seconds	0.134204038
mix	rstack	3	3000	seconds	0.113700055
insert	rdeque	3	3000	seconds	0.311289535
remove	rdeque	3	3000	seconds	0.495088111
mix	rdeque	3	3000	seconds	0.379504294
insert	rpqueue	3	3000	seconds	1.144455436
remove	rpqueue	3	3000	seconds	0.92823247
mix	rpqueue	3	3000	seconds	1.044273092
insert	rstack	4	3000	seconds	0.105938839
remove	rstack	4	3000	seconds	0.132759132
mix	rstack	4	3000	seconds	0.117587384
insert	rdeque	4	3000	seconds	0.308749204
remove	rdeque	4	3000	seconds	0.498905822
mix	rdeque	4	3000	seconds	0.384216893
insert	rpqueue	4	3000	seconds	1.141001248
remove	rpqueue	4	3000	seconds	0.924960813
mix	rpqueue	4	3000	seconds	1.049118352
insert	rstack	5	3000	seconds	0.106126271
remove	rstack	5	3000	seconds	0.138571185
mix	rstack	5	3000	seconds	0.121044527
insert	rdeque	5	3000	seconds	0.306251861
remove	rdeque	5	3000	seconds	0.478622804
mix	rdeque	5	3000	seconds	0.382660873
insert	rpqueue	5	3000	seconds	1.153106315
remove	rpqueue	5	3000	seconds	0.939773408
